park	recreational_visits	non_recreational_visits	recreational_hours	non_recreational_hours	concessioner_lodging	concessioner_camping	tents_overnight	rv_overnights	backcountry_overnights	non_recreational_overnights	misc_overnights
Valley Forge NHP	"2,159,592"	0	"4,319,184"	0	0	0	0	0	0	0	0
Vanderbilt Mansion NHS	"360,436"	0	"444,984"	0	0	0	0	0	0	0	0
Vicksburg NMP	"475,074"	0	"1,045,385"	0	0	0	0	0	0	0	0
Vietnam Veterans MEM	"5,072,589"	0	"2,536,291"	0	0	0	0	0	0	0	0
Virgin Islands NP	"304,408"	"232,274"	"1,872,116"	"62,833"	"3,597"	"3,608"	0	0	0	828	"48,339"
Voyageurs NP	"237,250"	0	"1,243,694"	0	"3,822"	0	0	0	"53,539"	0	"27,280"
Waco Mammoth NM	"101,792"	"1,306"	"133,259"	137	0	0	0	0	0	0	0
Walnut Canyon NM	"165,134"	480	"214,675"	240	0	0	0	0	0	0	0
War in the Pacific NHP	"384,610"	258	"386,758"	130	0	0	0	0	0	0	0
Washington Monument	0	0	0	0	0	0	0	0	0	0	0
Washita Battlefield NHS	"11,831"	0	"11,831"	0	0	0	0	0	0	0	0
Weir Farm NHS	"38,096"	0	"70,668"	0	0	0	0	0	0	0	0
Whiskeytown NRA	"832,063"	"6,398"	"3,426,685"	"11,542"	0	"21,752"	0	"2,188"	"4,669"	0	"26,560"
White House	"439,725"	0	"354,189"	0	0	0	0	0	0	0	0
White Sands NM	"612,468"	0	"1,549,914"	0	0	0	0	0	"5,259"	0	0
Whitman Mission NHS	"47,757"	888	"47,757"	444	0	0	0	0	0	0	0
William Howard Taft NHS	"37,425"	0	"37,425"	0	0	0	0	0	0	0	0
Wilson's Creek NB	"206,346"	0	"412,699"	0	0	0	0	0	0	0	0
Wind Cave NP	"619,924"	"252,727"	"1,937,618"	"83,400"	0	0	"6,197"	"4,670"	452	0	529
Wolf Trap NP for the Performing Arts	"424,364"	0	"1,697,456"	0	0	0	0	0	0	0	0
Women's Rights NHP	"61,806"	"1,344"	"68,841"	672	0	0	0	0	0	0	0
World War II Memorial	"4,876,842"	0	"2,438,422"	0	0	0	0	0	0	0	0
World War II Valor in the Pacific NM	"1,947,495"	0	"5,842,485"	0	0	0	0	0	0	0	0
Wrangell-St. Elias NP & PRES	"68,292"	0	"3,141,451"	0	0	0	0	0	0	0	0
Wright Brothers NMEM	"414,244"	"2,190"	"414,244"	"1,095"	0	0	0	0	0	0	0
Wupatki NM	"236,454"	"6,531"	"472,997"	"3,920"	0	0	0	0	5	0	0
Yellowstone NP	"4,116,524"	"1,247,548"	"84,149,763"	"761,245"	"613,218"	"611,098"	"96,293"	"69,723"	"43,378"	0	"14,270"
Yosemite NP	"4,336,890"	"163,654"	"71,264,549"	"4,281,972"	"826,725"	0	"456,476"	"293,844"	"167,507"	0	"26,166"
Yukon-Charley Rivers NPRES	952	0	"52,784"	0	0	0	0	0	"2,120"	295	0
Zion NP	"4,504,812"	"21,900"	"30,274,711"	"5,475"	"87,216"	0	"138,245"	"72,425"	"25,470"	0	"22,705"
